USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         2  0.0  0.0      0     0 ?        S    Feb06   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Feb06   0:10  \_ [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S    Feb06   1:45  \_ [rcu_sched]
root         8  0.0  0.0      0     0 ?        S    Feb06   0:22  \_ [rcuos/0]
root         9  0.0  0.0      0     0 ?        S    Feb06   2:44  \_ [rcuos/1]
root        10  0.0  0.0      0     0 ?        S    Feb06   0:22  \_ [rcuos/2]
root        11  0.0  0.0      0     0 ?        S    Feb06   0:26  \_ [rcuos/3]
root        12  0.0  0.0      0     0 ?        S    Feb06   0:10  \_ [rcuos/4]
root        13  0.0  0.0      0     0 ?        S    Feb06   0:12  \_ [rcuos/5]
root        14  0.0  0.0      0     0 ?        S    Feb06   0:12  \_ [rcuos/6]
root        15  0.0  0.0      0     0 ?        S    Feb06   0:13  \_ [rcuos/7]
root        16  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcu_bh]
root        17  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcuob/0]
root        18  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcuob/1]
root        19  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcuob/2]
root        20  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcuob/3]
root        21  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcuob/4]
root        22  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcuob/5]
root        23  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcuob/6]
root        24  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [rcuob/7]
root        25  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [migration/0]
root        26  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [watchdog/0]
root        27  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [watchdog/1]
root        28  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [migration/1]
root        29  0.0  0.0      0     0 ?        S    Feb06   0:08  \_ [ksoftirqd/1]
root        31  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/1:0H]
root        32  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [watchdog/2]
root        33  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [migration/2]
root        34  0.0  0.0      0     0 ?        S    Feb06   0:03  \_ [ksoftirqd/2]
root        36  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/2:0H]
root        37  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [watchdog/3]
root        38  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [migration/3]
root        39  0.0  0.0      0     0 ?        S    Feb06   0:02  \_ [ksoftirqd/3]
root        41  0.0  0.0      0     0 ?        S<   Feb06   0:00  \_ [kworker/3:0H]
root        42  0.0  0.0      0     0 ?        S    Feb06   0:00  \_ [watchdog/4]
